Month	KPI	Direction	Plant	UOM	Achieved	Target
Feb-26	YMR	HIGHER_IS_BETTER	Plant-05	%	92.58%	94.00%
Feb-26	YMR	HIGHER_IS_BETTER	Plant-06	%	91.43%	94.00%
Feb-26	Actual OEE	HIGHER_IS_BETTER	Plant-05	%	70.81%	83.00%
Feb-26	Actual OEE	HIGHER_IS_BETTER	Plant-06	%	68.68%	74.00%
Feb-26	EHS	LOWER_IS_BETTER	Plant-05	Num	0	0
Feb-26	EHS	LOWER_IS_BETTER	Plant-06	Num	1	0
Feb-26	FGS	HIGHER_IS_BETTER	Plant-05	Num	28438	37000
Feb-26	FGS	HIGHER_IS_BETTER	Plant-06	Num	25206	17500
Feb-26	WIP	LOWER_IS_BETTER	Plant-05	Num	2.84	3.50
Feb-26	WIP	LOWER_IS_BETTER	Plant-06	Num	1.78	2.00
